total_loss,accuracy
2.3009192943573,14.06
2.304175615310669,15.62
2.290457248687744,17.19
2.2844631671905518,19.14
2.2793262004852295,19.06
2.2826714515686035,17.19
2.268523693084717,16.52
2.2518787384033203,17.38
2.2549779415130615,17.88
2.265164375305176,17.66
2.2586004734039307,17.61
2.289067268371582,17.84
2.2533295154571533,18.51
2.252192974090576,18.64
2.2346086502075195,19.06
2.216243267059326,20.02
2.208890199661255,20.77
2.2252588272094727,21.7
2.1854312419891357,22.62
2.2105307579040527,23.05
2.221191167831421,23.51
2.184580087661743,24.15
2.154205083847046,24.93
2.1457533836364746,25.59
2.1586010456085205,26.12
2.1221673488616943,26.8
2.1364593505859375,27.43
2.1448824405670166,27.62
2.130126714706421,28.12
2.116992950439453,28.91
2.0605695247650146,29.49
2.099146842956543,30.03
2.052023410797119,30.54
2.0399818420410156,31.11
2.0610783100128174,31.56
2.0714025497436523,31.99
1.9910229444503784,32.73
1.9922606945037842,33.35
1.9605809450149536,33.97
1.9943050146102905,34.57
2.0209286212921143,34.87
1.9635303020477295,35.45
1.899087905883789,36.01
1.829773187637329,36.65
1.7689636945724487,37.4
1.8295475244522095,38.11
1.8830293416976929,38.7
1.8156856298446655,39.42
1.7812752723693848,39.99
1.7146285772323608,40.78
1.7427270412445068,41.33
1.718283772468567,41.83
1.6539829969406128,42.39
1.6840617656707764,42.8
1.67093825340271,43.21
1.6526786088943481,43.72
1.6415433883666992,44.05
1.6573618650436401,44.37
1.4616163969039917,45.02
1.4661771059036255,45.49
1.5276814699172974,45.95
1.493260145187378,46.42
1.462856650352478,46.83
1.4293345212936401,47.17
1.4101645946502686,47.52
1.4073703289031982,47.7
1.4066036939620972,48.11
1.1374748945236206,48.69
1.2930207252502441,49.12
1.080700159072876,49.58
1.2509316205978394,49.93
1.234894871711731,50.35
1.0174919366836548,50.81
1.1734832525253296,51.1
1.1697458028793335,51.46
1.0457887649536133,51.79
1.038809895515442,52.25
1.233859658241272,52.36
0.9983668327331543,52.73
