total_loss,accuracy
2.3041296005249023,14.06
2.308549165725708,10.16
2.2972090244293213,11.46
2.2952253818511963,10.16
2.2982778549194336,10.63
2.2841475009918213,12.76
2.2917962074279785,14.51
2.285975933074951,15.43
2.3008906841278076,15.1
2.290630578994751,14.69
2.2846479415893555,14.2
2.2997117042541504,13.67
2.2925362586975098,13.22
2.2851181030273438,12.95
2.278390884399414,12.71
2.272263526916504,12.7
2.2622904777526855,12.96
2.275716543197632,12.93
2.2490074634552,13.32
2.274656057357788,13.67
2.2685773372650146,14.14
2.2612905502319336,14.35
2.2619385719299316,14.54
2.263361930847168,14.78
2.2620415687561035,14.62
2.2323222160339355,14.78
2.231595277786255,14.64
2.246913194656372,14.62
2.223816394805908,14.76
2.237999439239502,14.84
2.2161660194396973,15.07
2.225369453430176,15.38
2.208453416824341,16.15
2.1957790851593018,17.05
2.1915781497955322,17.9
2.200805187225342,18.71
2.1847949028015137,19.64
2.1995294094085693,20.64
2.164637565612793,21.75
2.1634254455566406,22.62
2.1492347717285156,23.48
2.1570234298706055,24.33
2.1444835662841797,25.07
2.1439881324768066,25.78
2.0936553478240967,26.77
2.0960612297058105,27.65
2.1233506202697754,28.29
2.121333599090576,28.94
2.101527452468872,29.62
2.110738515853882,30.13
2.0689237117767334,30.73
2.09324312210083,31.04
2.0374813079833984,31.57
2.01743221282959,32.2
2.0485687255859375,32.56
2.000702142715454,33.15
1.9474059343338013,33.72
1.9770115613937378,34.24
1.952133059501648,34.83
1.93665611743927,35.31
1.8943755626678467,35.76
1.9129424095153809,36.29
1.9078350067138672,36.68
1.891507625579834,37.08
1.856445074081421,37.6
1.8167340755462646,38.04
1.7900701761245728,38.62
1.7896499633789062,39.25
1.7925909757614136,39.67
1.7907781600952148,40.11
1.6492456197738647,40.67
1.606360673904419,41.23
1.6783287525177002,41.48
1.663382649421692,41.85
1.655490756034851,42.21
1.6997618675231934,42.5
1.487219214439392,42.92
1.554606318473816,43.35
1.4735071659088135,43.75
1.5461554527282715,44.06
1.4947781562805176,44.29
1.391249179840088,44.7
1.4783111810684204,44.99
1.3091602325439453,45.29
1.3994417190551758,45.59
1.2316083908081055,45.93
1.3275953531265259,46.25
1.3163657188415527,46.56
1.2532875537872314,46.89
1.3369206190109253,47.14
1.3082208633422852,47.48
1.3057129383087158,47.81
1.2366831302642822,48.15
1.1065144538879395,48.45
0.9989944696426392,48.87
0.9265220761299133,49.22
1.1301273107528687,49.52
1.082284927368164,49.73
1.089324712753296,50.02
1.0460269451141357,50.28
1.0063629150390625,50.6
1.0524228811264038,50.81
0.821387529373169,51.14
0.7863598465919495,51.44
0.9731174111366272,51.73
0.9446144104003906,52.05
1.2242419719696045,52.13
0.9316816329956055,52.4
0.8492927551269531,52.64
0.8961164951324463,52.81
0.8782414197921753,53.04
0.8451154828071594,53.36
0.9917132258415222,53.53
1.140491247177124,53.67
1.0044865608215332,53.86
0.8340063095092773,54.12
0.8679885268211365,54.3
0.867713987827301,54.49
0.7005002498626709,54.67
0.8449541926383972,54.88
0.7854293584823608,55.13
0.878338098526001,55.3
0.7473800778388977,55.55
0.81220942735672,55.7
0.6968139410018921,55.9
0.8286975026130676,56.08
0.6415988802909851,56.31
0.5777547955513,56.49
0.8910377621650696,56.64
0.7375847101211548,56.81
0.5685180425643921,57.06
0.7196085453033447,57.27
0.6401583552360535,57.5
0.4800075888633728,57.73
0.5430354475975037,57.91
0.7834110856056213,58.03
0.9380406737327576,58.15
0.6149580478668213,58.3
1.0315691232681274,58.36
0.6205388903617859,58.55
0.5092996954917908,58.75
0.42236006259918213,58.97
0.6668705344200134,59.16
0.4382847845554352,59.36
0.6579437851905823,59.52
0.5308774709701538,59.67
0.6526450514793396,59.81
0.6398640871047974,59.99
0.48445096611976624,60.19
0.6295937895774841,60.39
0.5437906384468079,60.52
0.3822323977947235,60.74
0.6348588466644287,60.85
0.39850470423698425,61.06
0.3617599308490753,61.25
0.47739478945732117,61.42
0.4667089879512787,61.58
0.47244808077812195,61.77
0.44304120540618896,61.94
0.6636822819709778,62.05
0.7278862595558167,62.1
0.3855321705341339,62.27
0.27331140637397766,62.47
0.44424453377723694,62.61
0.30334073305130005,62.78
0.3663864731788635,62.94
0.4489002525806427,63.07
0.558790385723114,63.2
0.5030214786529541,63.33
0.35526734590530396,63.51
0.4076089560985565,63.67
0.391550749540329,63.84
0.31162774562835693,64.0
0.48491740226745605,64.1
0.4516516327857971,64.23
0.6531881093978882,64.33
0.350361704826355,64.45
0.45048218965530396,64.56
0.2948770225048065,64.7
0.4024282693862915,64.82
0.6769312620162964,64.9
0.6222277879714966,65.0
0.6993697285652161,65.08
0.5873399972915649,65.17
0.3915114998817444,65.26
0.49498265981674194,65.35
0.39912793040275574,65.49
0.3638969659805298,65.6
0.4104626774787903,65.72
0.3239297866821289,65.86
0.5456428527832031,65.96
0.40582704544067383,66.09
0.42875421047210693,66.2
0.5428546071052551,66.3
0.5397518277168274,66.38
0.5264647603034973,66.47
0.7783664464950562,66.54
0.7015573382377625,66.58
0.5248156189918518,66.69
0.46809887886047363,66.79
0.35329583287239075,66.89
0.3830050230026245,67.0
0.6347009539604187,67.06
0.7591561675071716,67.12
0.6233223080635071,67.18
0.5680171847343445,67.25
0.4184906780719757,67.34
0.35921818017959595,67.46
0.41032421588897705,67.55
0.357698529958725,67.64
0.27017924189567566,67.76
0.3415255844593048,67.86
0.20724566280841827,67.98
0.6019501686096191,68.06
0.5874453186988831,68.13
0.31009235978126526,68.23
0.4961117208003998,68.3
0.5299311876296997,68.38
0.6992197036743164,68.41
0.5399087071418762,68.49
0.6667555570602417,68.54
0.4822385609149933,68.6
0.4166386127471924,68.7
0.6521719098091125,68.76
0.7010021805763245,68.8
0.3813111484050751,68.9
0.538174033164978,68.96
0.5110414624214172,69.04
0.5828385353088379,69.07
0.7292107343673706,69.09
0.7378857135772705,69.1
0.6929463148117065,69.13
0.43802928924560547,69.2
0.37538808584213257,69.28
0.3299475908279419,69.37
0.2602007985115051,69.47
0.6253392100334167,69.53
0.37945443391799927,69.62
0.4159948527812958,69.7
0.34066805243492126,69.8
0.32537347078323364,69.88
0.3793039619922638,69.97
0.3998406231403351,70.05
0.2904261648654938,70.14
0.32077860832214355,70.24
0.5358060002326965,70.28
0.49287593364715576,70.33
0.45966023206710815,70.37
0.4057111442089081,70.44
0.6038548946380615,70.49
0.618983268737793,70.54
0.28161755204200745,70.63
0.25614210963249207,70.72
0.44596490263938904,70.78
0.28672030568122864,70.85
0.3989156186580658,70.94
0.29708799719810486,71.02
0.2957494854927063,71.12
0.4385354816913605,71.21
0.33938872814178467,71.27
0.4486754238605499,71.33
0.4470685124397278,71.39
0.5864963531494141,71.41
0.3370417356491089,71.47
0.3673345744609833,71.53
0.547579288482666,71.59
0.41068214178085327,71.66
0.43878433108329773,71.73
0.5414320230484009,71.76
0.4995563328266144,71.81
0.2764911651611328,71.88
0.3523368835449219,71.94
0.28303956985473633,72.03
0.5056533217430115,72.08
0.7538511753082275,72.11
0.34649133682250977,72.18
0.5230411291122437,72.22
0.353931188583374,72.29
0.46855559945106506,72.34
0.41439926624298096,72.38
0.339024156332016,72.44
0.24839623272418976,72.52
0.29900890588760376,72.59
0.2373155951499939,72.67
0.20945140719413757,72.75
0.23569470643997192,72.82
0.2722466289997101,72.88
0.4489397406578064,72.94
0.3907357454299927,73.0
0.25337281823158264,73.08
0.41430240869522095,73.15
0.37959372997283936,73.2
0.3721736967563629,73.26
0.21713511645793915,73.34
0.32900500297546387,73.41
0.1982959508895874,73.49
0.24963006377220154,73.54
0.40055039525032043,73.58
0.4211413860321045,73.64
0.39912423491477966,73.68
0.3924028277397156,73.74
0.2798205018043518,73.8
0.37269091606140137,73.85
0.2761843502521515,73.91
0.3703625202178955,73.96
0.3844892382621765,73.99
0.2584379017353058,74.05
0.10252184420824051,74.13
0.13750000298023224,74.21
0.4532945454120636,74.25
0.2144157886505127,74.32
0.3513505458831787,74.35
0.35724347829818726,74.41
0.4650438129901886,74.44
0.2384423166513443,74.51
0.6069485545158386,74.55
0.3030974864959717,74.6
0.3830428421497345,74.66
0.20448116958141327,74.72
0.20531803369522095,74.78
0.19453151524066925,74.83
0.4477768838405609,74.87
0.29348260164260864,74.93
0.5355513095855713,74.98
0.44920614361763,75.02
0.4427037537097931,75.06
0.5526756644248962,75.1
0.597368597984314,75.14
0.43452054262161255,75.18
0.3593500852584839,75.24
0.35774222016334534,75.29
0.25740522146224976,75.34
0.17448070645332336,75.4
0.309720903635025,75.45
0.35220128297805786,75.5
0.16507786512374878,75.56
0.3210373520851135,75.61
0.4729233384132385,75.64
0.25689589977264404,75.69
0.2493954747915268,75.74
0.09297532588243484,75.82
0.15044206380844116,75.87
